PULocationID,trip_distance,fare_amount,year
164,0.8,5.5,2018
87,2.7,11.0,2018
100,1.1,9.0,2018
113,0.4,4.0,2018
186,0.89,5.0,2018
211,2.2,11.0,2018
211,2.58,10.0,2018
262,3.8,14.5,2018
142,2.0,9.5,2018
162,0.5,4.5,2018
141,0.6,4.0,2018
140,0.6,4.0,2018
211,3.2,18.0,2018
161,19.13,69.5,2018
263,0.98,6.0,2018
164,3.2,12.5,2018
249,1.64,8.0,2018
141,0.8,6.5,2018
238,2.92,18.5,2018
238,8.9,30.0,2018
138,10.85,35.0,2018
229,3.2,14.0,2018
48,1.6,8.0,2018
264,0.7,5.5,2018
107,0.2,3.0,2018
236,2.1,13.0,2018
246,2.51,9.5,2018
236,1.08,5.5,2018
132,19.2,52.0,2018
79,2.66,12.5,2018
239,0.92,6.0,2018
161,1.61,10.0,2018
226,2.1,11.0,2018
79,2.77,13.5,2018
113,4.1,17.0,2018
163,2.28,10.0,2018
237,1.52,8.5,2018
238,0.48,4.0,2018
264,5.9,22.5,2018
133,1.5,7.5,2018
79,2.08,12.0,2018
132,17.82,52.0,2018
230,1.0,7.0,2018
261,6.8,24.5,2018
107,0.7,5.0,2018
236,0.99,6.5,2018
234,1.68,8.0,2018
263,1.22,6.5,2018
188,3.53,17.0,2018
239,1.97,9.0,2018
161,1.3,8.0,2018
68,2.08,10.0,2018
90,0.83,5.5,2018
231,3.3,16.0,2018
236,8.56,26.5,2018
239,1.2,6.5,2018
107,1.94,10.0,2018
79,0.7,5.0,2018
144,7.67,26.5,2018
138,12.4,51.5,2018
145,0.0,2.5,2018
25,7.5,23.0,2018
138,10.7,33.0,2018
43,1.6,9.5,2018
249,0.8,5.5,2018
236,2.06,10.0,2018
43,0.53,4.5,2018
132,19.0,52.0,2018
13,14.23,45.0,2018
107,1.2,6.0,2018
43,6.11,25.5,2018
144,3.92,13.0,2018
43,5.4,22.5,2018
132,11.4,32.5,2018
230,1.2,7.0,2018
148,3.9,16.5,2018
114,2.67,13.0,2018
263,0.95,5.5,2018
161,0.58,7.5,2018
170,0.51,4.5,2018
114,1.9,8.5,2018
162,1.7,9.0,2018
90,1.2,9.0,2018
107,2.86,17.0,2018
142,1.1,13.0,2018
107,1.2,6.0,2018
113,2.3,11.0,2018
234,1.2,9.0,2018
40,0.7,5.0,2018
148,3.48,11.5,2018
79,1.04,7.5,2018
237,1.99,7.5,2018
161,3.5,17.5,2018
162,2.77,12.0,2018
144,4.27,16.0,2018
74,0.5,4.0,2018
142,9.8,32.5,2018
113,0.8,7.5,2018
100,0.81,9.5,2018
107,1.2,7.5,2018
234,0.5,6.5,2018
132,11.6,40.0,2018
68,2.32,10.5,2018
90,4.6,20.0,2018
261,1.07,8.0,2018
141,3.34,12.0,2018
170,6.48,21.5,2018
238,1.17,7.5,2018
114,0.9,7.5,2018
249,1.76,8.5,2018
231,0.3,4.0,2018
100,1.7,9.0,2018
170,0.75,5.5,2018
263,2.62,18.5,2018
161,18.4,70.0,2018
231,0.68,5.5,2018
234,1.5,8.5,2018
100,2.2,10.5,2018
238,2.09,10.5,2018
239,2.3,12.0,2018
234,4.14,16.0,2018
151,1.2,7.5,2018
161,19.3,70.5,2018
48,0.5,5.0,2018
130,2.5,11.5,2018
236,0.7,5.0,2018
186,3.45,14.5,2018
164,1.27,6.5,2018
246,1.1,7.5,2018
137,1.0,7.0,2018
239,0.74,5.5,2018
45,1.9,9.5,2018
68,1.65,11.0,2018
90,1.12,7.0,2018
163,2.13,10.5,2018
236,1.21,6.0,2018
148,5.14,17.0,2018
113,1.0,7.0,2018
68,0.4,3.5,2018
161,5.2,21.0,2018
263,3.0,11.0,2018
138,8.7,26.5,2018
161,3.4,18.5,2018
48,0.63,5.0,2018
249,2.25,9.0,2018
170,1.5,7.5,2018
146,2.7,15.5,2018
148,1.4,7.5,2018
261,0.4,4.5,2018
79,0.8,8.5,2018
170,2.4,12.0,2018
148,1.6,7.5,2018
140,1.4,9.0,2018
186,1.1,7.0,2018
230,2.9,15.0,2018
230,1.3,6.5,2018
90,3.5,21.0,2018
237,7.3,25.0,2018
186,0.8,11.0,2018
255,0.7,4.5,2018
143,0.6,9.0,2018
163,1.06,6.5,2018
231,2.81,14.0,2018
229,1.52,7.0,2018
230,0.73,6.0,2018
162,1.27,7.5,2018
140,1.73,8.5,2018
48,0.45,6.0,2018
230,1.14,8.5,2018
236,1.0,6.5,2018
234,1.36,11.0,2018
40,1.35,7.0,2018
230,0.49,7.0,2018
79,3.5,12.0,2018
79,0.77,5.5,2018
79,1.7,9.0,2018
48,1.3,14.0,2018
48,1.7,10.5,2018
161,0.66,4.5,2018
50,0.83,10.5,2018
249,1.8,10.5,2018
50,5.03,17.5,2018
234,4.9,18.5,2018
132,3.0,10.5,2018
162,3.4,13.5,2018
237,1.3,8.0,2018
246,1.34,6.5,2018
125,2.71,10.5,2018
100,0.7,6.0,2018
234,1.9,9.5,2018
141,0.36,3.0,2018
79,2.09,8.5,2018
68,1.28,8.5,2018
142,1.4,7.5,2018
186,0.77,4.5,2018
186,2.35,11.5,2018
100,0.5,4.0,2018
79,1.91,9.5,2018
236,0.6,4.0,2018
107,0.76,5.5,2018
163,1.39,8.0,2018
132,21.25,52.0,2018
163,0.7,6.0,2018
162,0.8,6.0,2018
79,1.46,8.5,2018
48,0.2,3.0,2018
151,4.0,14.5,2018
68,3.15,12.5,2018
138,8.25,25.0,2018
234,1.07,5.5,2018
164,11.7,33.5,2018
53,12.05,35.5,2018
239,5.0,15.5,2018
170,1.84,8.5,2018
263,2.9,11.5,2018
186,1.3,6.5,2018
238,2.96,13.5,2018
144,2.02,10.0,2018
163,0.9,5.5,2018
229,1.3,7.5,2018
230,1.6,13.0,2018
233,1.7,7.5,2018
237,1.28,7.5,2018
132,17.96,52.0,2018
186,2.9,17.0,2018
231,3.14,12.0,2018
68,0.4,5.5,2018
230,1.6,7.5,2018
138,8.1,32.0,2018
234,2.7,14.0,2018
249,0.6,4.0,2018
262,0.6,4.5,2018
237,1.4,8.5,2018
249,1.2,9.5,2018
163,2.92,12.5,2018
162,1.95,10.0,2018
186,1.0,9.0,2018
137,1.5,7.5,2018
79,1.4,8.0,2018
141,1.47,8.5,2018
170,1.72,10.5,2018
113,2.08,11.5,2018
230,1.13,9.0,2018
229,10.6,29.0,2018
262,0.73,6.5,2018
246,1.25,9.0,2018
138,11.06,37.5,2018
132,17.2,52.0,2018
100,0.51,4.5,2018
236,2.0,9.5,2018
79,4.34,15.5,2018
113,3.42,14.5,2018
162,2.7,10.0,2018
87,15.4,52.0,2018
239,1.0,5.5,2018
229,2.08,12.5,2018
90,1.0,7.5,2018
186,0.9,8.0,2018
140,1.2,9.5,2018
163,2.5,14.5,2018
237,0.75,6.0,2018
43,0.2,3.5,2018
229,1.64,8.0,2018
236,0.65,6.0,2018
170,1.1,7.5,2018
144,3.12,13.0,2018
239,1.0,6.5,2018
141,0.6,6.0,2018
158,3.9,16.5,2018
138,9.1,28.0,2018
236,1.0,5.5,2018
138,10.23,33.0,2018
107,1.2,8.0,2018
186,1.42,16.0,2018
236,0.48,4.5,2018
161,0.6,4.0,2018
145,1.0,5.5,2018
246,2.3,10.0,2018
232,8.0,23.5,2018
239,1.87,10.5,2018
186,3.15,15.0,2018
230,2.1,10.5,2018
243,0.34,3.5,2018
162,1.87,12.0,2018
186,0.93,12.0,2018
263,0.4,4.0,2018
249,2.47,17.0,2018
50,0.87,5.5,2018
41,1.01,6.5,2018
68,1.81,9.0,2018
237,3.2,15.5,2018
138,4.79,16.5,2018
107,0.23,3.0,2018
234,3.03,18.0,2018
48,1.0,5.5,2018
239,4.3,17.5,2018
68,2.5,14.5,2018
186,1.66,7.5,2018
142,0.99,6.0,2018
68,1.54,10.5,2018
237,4.4,16.5,2018
236,1.07,6.5,2018
163,3.38,14.5,2018
107,16.6,52.0,2018
226,4.29,52.0,2018
113,0.6,5.0,2018
107,5.39,18.5,2018
234,1.29,11.5,2018
41,2.2,10.0,2018
233,0.85,6.5,2018
238,3.2,15.5,2018
233,1.4,7.0,2018
113,0.8,5.5,2018
50,1.46,10.5,2018
100,0.5,3.5,2018
161,1.9,12.5,2018
43,0.9,6.0,2018
170,1.1,8.0,2018
107,1.56,17.5,2018
162,1.3,7.0,2018
68,2.85,12.0,2018
163,1.7,7.5,2018
143,0.9,6.0,2018
48,1.67,7.0,2018
162,1.6,9.0,2018
163,2.96,12.5,2018
48,2.15,8.5,2018
264,4.0,14.3,2018
132,19.3,52.0,2018
230,1.76,9.0,2018
233,2.25,9.5,2018
162,0.87,5.0,2018
249,1.73,7.5,2018
260,3.3,12.0,2018
226,4.6,22.0,2018
230,0.57,6.5,2018
74,0.6,5.0,2018
79,2.6,10.5,2018
140,1.35,6.5,2018
48,0.8,5.5,2018
114,4.8,20.0,2018
170,1.2,8.0,2018
48,8.02,23.5,2018
261,4.6,17.5,2018
137,0.6,5.0,2018
237,1.2,7.0,2018
164,1.4,8.5,2018
163,2.03,11.5,2018
143,5.22,17.5,2018
114,1.37,8.0,2018
